WINTER,CLOSED,OPENED,DAYS
1901,12/14,04/11,118
1902,12/14,03/27,103
1903,12/26,03/21,85
1904,11/27,04/15,140
1905,12/13,04/03,111
1906,12/14,04/08,115
1907,12/08,03/24,106
1908,12/11,03/26,106
1909,12/09,04/06,118
1910,12/18,03/24,96
1911,12/08,03/21,103
1912,12/18,04/09,113
1913,12/19,04/02,104
1914,12/27,03/20,83
1915,12/15,04/09,115
1916,12/15,04/04,111
1917,12/16,04/11,116
1918,12/08,04/03,116
1919,12/27,03/20,83
1920,12/03,03/28,116
1921,12/21,03/16,85
1922,12/19,03/25,96
1923,12/13,04/19,127
1924,01/01,04/13,103
1925,12/14,03/27,103
1926,12/10,04/15,126
1927,12/05,03/17,102
1928,12/09,03/26,108
1929,12/21,03/27,96
1930,12/03,03/17,104
1931,12/16,03/24,98
1932,01/30,03/30,60
1933,12/10,03/27,107
1934,12/13,03/26,103
1935,12/20,03/28,98
1936,12/11,03/27,107
1937,12/04,12/30,--
1937,01/05,04/12,123
1938,12/01,03/22,111
1939,12/19,03/31,102
1940,12/31,04/11,102
1941,12/03,04/09,127
1942,12/29,03/24,85
1943,12/07,03/31,114
1944,12/14,03/24,101
1945,12/18,03/17,89
1946,12/12,03/21,99
1947,12/18,04/05,108
1948,12/09,03/26,108
1949,12/24,03/26,92
1950,12/15,04/07,113
1951,12/11,04/08,118
1952,12/16,04/06,112
1953,12/17,03/20,93
1954,12/30,03/12,72
1955,12/31,03/24,83
1956,12/06,03/24,109
1957,12/13,03/15,92
1958,12/12,03/31,109
1959,12/08,04/12,125
1960,12/29,04/08,101
1961,12/19,03/27,98
1962,12/15,04/07,113
1963,12/12,04/03,112
1964,12/18,03/19,92
1965,12/15,04/08,114
1966,01/11,03/17,65
1967,01/05,04/03,88
1968,12/24,03/20,87
1969,12/15,03/26,101
1970,12/16,03/18,92
1971,12/15,03/18,93
1972,01/04,04/08,95
1973,12/07,03/07,90
1974,12/20,03/24,94
1975,01/02,04/07,95
1976,12/21,03/20,90
1977,12/01,03/14,103
1978,12/07,04/07,121
1979,12/09,04/05,117
1980,12/17,03/30,104
1981,12/20,03/16,86
1982,12/20,03/30,100
1983,01/09,03/06,56
1984,12/18,04/03,107
1985,12/24,03/26,92
1986,12/06,03/29,113
1987,12/13,03/08,85
1988,12/25,03/25,91
1989,12/29,04/01,93
1990,12/07,03/15,98
1991,12/23,03/21,88
1992,12/16,03/16,91
1993,12/24,04/11,108
1994,12/26,03/31,95
1995,01/05,03/20,74
1996,11/29,12/01,--
1996,12/10,03/24,107
1997,12/20,03/26,96
1998,12/21,12/23,--
1998,01/11,02/27,49
1999,12/30,03/10,70
2000,01/14,03/06,52
2001,12/13,03/31,108
2002,01/01,02/26,56
2003,12/09,12/15,--
2003,01/04,03/22,83
2004,12/25,12/28,--
2004,01/06,03/20,77
2005,12/24,03/31,97
2006,12/08,03/12,94
2007,01/18,03/26,67
2008,12/07,04/07,122
2009,12/10,03/24,104
2010,12/27,03/25,88
2011,12/09,04/03,112
2012,01/03,03/12,69
2013,12/31,04/11,101
2014,12/10,04/10,121
2015,12/02,12/16,--
2015,01/01,04/02,105
2016,01/11,03/13,62
2017,12/16,03/07,81
